Seq,Screen/State ID,Layer,Screen/State Title,Block Type,Learning/Purpose,Learner Action,Completion Rule,Data Saved,Privacy/Safety,Accessibility/Low-Bandwidth,Asset/Component,Build Status
0,M1-LMS-00,Layer 1 Platform,Module 1 Launch Page,Platform launch page,Orient learner and launch focused Module 1 player.,Click Launch Module 1 / Continue Module 1.,Player opens or same-tab fallback is selected.,module_1_launch_attempted optional,No personal data; show course-level fictional/composite scenario disclaimer where relevant.,Button is keyboard accessible; include fallback launch link and transcript/resource alternatives.,Layer 1 platform card and launch CTA,Required targeted repair
1,M1-PLAYER-00,Layer 2 Player,Module 1 Cover Screen,Module cover / Start state,"Provide Agora-style split-screen cover, module identity, duration, Start button.",Click Start.,module_started=true and move to M1-S1-01.,module_started timestamp optional,No sensitive imagery or real data.,Keyboard Start; meaningful alt text; no autoplay.,A-M1-COVER,Required targeted repair
2,M1-PLAYER-HELP,Layer 2 Player,Help Overlay,Reusable shell overlay,"Explain player controls using Agora-style dark overlay, arrows/labels, OK and Accessibility buttons.",Click OK or Accessibility.,help_viewed optional; overlay closes or opens accessibility modal.,help_viewed optional only,No personal data.,Focus trap; Escape closes; all controls labeled.,Player shell help overlay,Required targeted repair
3,M1-PLAYER-A11Y,Layer 2 Player,Accessibility Modal,Reusable modal,"Explain keyboard support, captions/transcripts, screen reader support, alt text, pause/replay, low-bandwidth alternatives, and safe learning.",Open and close modal.,Return focus to help/accessibility trigger.,None,No personal data; reinforces no sensitive information sharing.,"Screen-reader title, close button, semantic list.",Accessibility modal,Required targeted repair
4,M1-S1-01,Layer 2 Player,Welcome to the HRBA Course,Welcome video + transcript,Orient and motivate,Watch video or read transcript,Click Start Module 1,Viewed status,No personal data,Transcript and captions required; no autoplay,Welcome video placeholder or instructor image,Preserve existing learner content; apply targeted repairs
5,M1-S1-02,Layer 2 Player,What This Course Will Help You Do,Statement + short cards,Explain course value,Read course promise,Continue,Viewed status,No personal data,Cards must be screen-reader readable,Optional course value icon row,Preserve existing learner content; apply targeted repairs
6,M1-S1-03,Layer 2 Player,What You Will Be Able to Do in Module 1,Checklist / objective card,Clarify outcomes,Review objectives,Acknowledge objectives,Objective acknowledgement,No personal data,Semantic checklist,None,Preserve existing learner content; apply targeted repairs
7,M1-S1-04,Layer 2 Player,Your HRBA Learning Journey,Roadmap / timeline,Show course pathway,Review journey steps,Continue,Viewed status,No personal data,Text alternative required,Course roadmap graphic,Preserve existing learner content; apply targeted repairs
8,M1-S1-05,Layer 2 Player,How This Course Works,Accordion or tabs,Explain platform mechanics,Open/read items,Open all or continue after viewing,Viewed status,No personal data,Keyboard accessible accordion,None,Preserve existing learner content; apply targeted repairs
9,M1-S1-06,Layer 2 Player,"Certificate, Reflections, and Practical Tools",Note / callout,Clarify certificate and formative checks,Read note,Continue,Optional acknowledgement,No personal data,Text-only callout,Certificate note icon optional,Preserve existing learner content; apply targeted repairs
