Component/Interaction ID,Placement,Type,Trigger,Default State,Learner Action,Feedback/Revealed State,Completion Event,Data Saved,Accessibility/Safety,Implementation Priority
INT-M1-00,M1-PLAYER-00,Module cover start state,Player opens from LMS,Cover screen visible; Start button enabled; no audio autoplay.,Click Start.,Move to M1-S1-01 welcome video/transcript.,module_started=true,module_started timestamp optional,Keyboard accessible Start; image alt text; no sensitive visuals.,Core
INT-M1-HELP,Player shell,Help overlay,Click Help or first-time player open,Dark overlay displays controls and arrows/labels.,Click OK or Accessibility.,OK closes overlay. Accessibility opens modal.,help_viewed optional,No personal data,Focus trap; Escape close; visible labels; no color-only cues.,Core
INT-M1-A11Y,Player shell,Accessibility modal,Click Accessibility,Modal with accessibility and low-bandwidth support.,Close modal.,Return focus to Accessibility or Help control.,None,No personal data,Screen-reader title; close button; text not image-only.,Core
INT-M1-01,M1-S1-07,Safe Learning Agreement gate,Learner reaches agreement screen,Checkbox unchecked; Continue disabled.,Tick agreement checkbox.,Continue enabled; safety reminder visible.,safe_learning_agreement_accepted=true,Acceptance timestamp only,Do not collect sensitive data; checkbox keyboard operable.,Module interaction
INT-M1-02,M1-S1-08,Orientation readiness check,Learner starts 2-question check,Question 1 visible; options unselected; feedback hidden.,Select option and submit/check.,Show supportive option-level feedback; allow retry/continue.,orientation_check_completed=true after both feedbacks viewed,Completion status only,MCQ accessible; no score used for certificate.,Module interaction
INT-M1-03,M1-S2-03,HRBA relevance cards,Learner opens relevance screen,Five cards collapsed or visible as icons.,Open/read cards.,Reveal short relevance explanation per card.,hrba_relevance_cards_viewed=true after all/open or continue policy,Viewed status optional,Cards keyboard accessible; text alternatives.,Module interaction
INT-M1-04,M1-S3-03,Scenario decision,Learner starts scenario decision,Scenario and options visible; feedback hidden.,Select best next question/action.,Best answer: 'That’s right...' Weaker answers: 'Not quite...' with reason and retry.,scenario_completed=true after feedback viewed,Selected option optional; attempts optional,Use fictional scenario only; no free-text real case entry.,Module interaction
INT-M1-05,M1-S3-04,Reveal block,Learner opens reveal screen,Reveal items collapsed or first item visible.,Open reveal items.,Each item shows what changes when asking rights-based questions.,reveal_completed=true after all items opened or continue policy,Viewed status,Text list alternative; no essential animation-only content.,Module interaction
INT-M1-06,M1-S4-02,Sorting activity,Learner starts sorting,Four examples and four categories visible; no selections.,"Assign each example to category using tap/select, not only drag.",Correct: Good choice + explanation. Incorrect: Not quite + explanation + retry.,sorting_activity_completed=true after all correct/feedback viewed,Completion status; attempts optional,Non-drag alternative required; examples non-sensitive.,Module interaction
INT-M1-07,M1-S4-04,Commitment chip / shift selector,Learner chooses one shift,Practice shifts displayed as selectable chips.,Select one shift; optional save/continue.,Show confirmation: 'This is a useful focus for later modules.',shift_selected or skipped depending policy,Selected shift private if saved,No sensitive free text required.,Module interaction
INT-M1-08,M1-S5-03,Actor-role matching,Learner starts matching activity,Actors and roles visible; no matches selected.,Match four actors to roles.,Correct/Not quite feedback explains role logic; retry allowed.,matching_activity_completed=true after all feedback viewed,Completion status; attempts optional,Non-drag alternative required; generic actor labels only.,Module interaction
INT-M1-09,M1-S5-04,Labeled actor map,Learner opens diagram,Diagram visible with hotspots or labels.,Explore labels/hotspots.,"Reveal CSO bridge role, claims, responsibilities, accountability.",actor_map_viewed=true,Viewed status,Full text alternative required.,Module interaction
INT-M1-10,M1-S6-05,16-item self-assessment,Learner starts survey,One item at a time or grouped by domain; scale visible.,Rate all items 0–3 or N/A.,Validation: all required; N/A excluded from numeric score.,self_assessment_submitted=true,"Private scores, band, N/A count",Private by default; no real cases; no public score.,Module interaction
INT-M1-11,M1-S6-06 / S6-07,Automated result + domain feedback,Survey submitted,Result summary hidden until submit.,View result and domain cards.,"Show band, domain feedback, and interpretation; no judgmental language.",result_summary_viewed=true; domain_feedback_viewed=true,Private summary,"Text labels, no color-only meaning.",Module interaction
INT-M1-12,M1-S6-08,Priority selector,Learner views domain feedback,Priority domains displayed as checkboxes.,Select exactly two domains.,"If fewer/more than two, show gentle validation. If exactly two, enable continue.",priority_domains_selected=true,Two priority domains private,Accessible checkboxes; not public.,Module interaction
INT-M1-13,M1-S6-09,Portfolio save,Learner reaches save screen,Summary visible; optional note empty; safety warning visible.,Save summary; optional note or skip note.,Confirm saved privately. Optional note never required.,self_assessment_summary_saved=true,"Private summary, timestamp; optional note if entered",Text warning: no sensitive data.,Module interaction
INT-M1-14,M1-S7-02,Module 1 formative quiz,Learner starts quiz,Quiz intro then questions; answers unselected.,Answer 5 MCQs; submit.,Show feedback per item or summary; no certificate effect.,module_1_quiz_completed=true; quiz_feedback_viewed=true,Completion status; optional responses,Accessible MCQ; adult-learning feedback; retry if enabled.,Module interaction
INT-M1-15,M1-S7-04,Module summary tabs,Learner reaches summary,Tabs visible; first tab active.,Open summary tabs/cards.,Each tab shows key takeaway and practice implication.,module_summary_viewed=true after tabs opened or continue policy,Viewed status,Keyboard tabs; full text alternative.,Module interaction
INT-M1-16,M1-PLAYER-COMPLETE,Completion screen,Required completion rules met and final screen reached,Completion message visible; Return to Course Page button.,Click Return to Course Page.,Close/return to LMS; update progress.,module_1_completed=true,Completion timestamp,Text + icon confirmation; no sensitive data shown.,Core
