Asset ID,Placement,Asset type,Purpose,Prompt / Production Direction,Style + Brand,Safety restrictions,Alt text,Status
A-M1-COVER,M1-PLAYER-00,Hero image / split-screen cover visual,Create Agora-style module cover adapted to DEC/CSO Learning Hub.,Create a premium e-learning module cover for 'Applying HRBA in CSO Practice — Module 1: Starting Your HRBA Learning Journey'. Left area should support deep navy text panel and Start button; right area should show a respectful Ethiopian/East African local CSO learning context such as staff reviewing a project plan or participating in a training. No readable text inside image.,"Professional, calm, realistic or semi-realistic; DEC colors #3B99D4, #91C852, #0F172A; clean and premium.",No real vulnerable people; no crisis/trauma imagery; no political symbols; no identifying documents.,Illustration/photo-style visual of local CSO learners preparing to start an HRBA course module.,New
A-M1-01,M1-S1-01,Welcome video placeholder / instructor image,Support the welcome video or transcript-first alternative.,"Create a clean welcome-video placeholder frame for the HRBA course, with a CSO facilitator/instructor style image and simple play area. Use neutral learning/training setting and DEC brand accents. Do not include readable text except short labels if necessary.",Video-ready frame; white card on light background; high contrast.,No real organization logos except approved DEC/CSO Learning Hub; no sensitive community imagery.,Welcome video frame showing a facilitator-style learning environment for HRBA course orientation.,Refine existing placeholder
A-M1-02,M1-S1-04,Course roadmap graphic,Show the course journey visually.,"Create a clean horizontal/vertical roadmap graphic showing a learner journey from safe start and HRBA foundations through everyday rights, actor roles, principles, project design, implementation, MEAL, action planning, and completion. Use icons and simple cards, no long text.","Flat vector infographic, DEC colors, accessible contrast.",No overcrowded text; provide text alternative in course.,Roadmap showing the HRBA course journey from safe start to practical application and action planning.,Refine
A-M1-03,M1-S1-06A,Portfolio illustration,Introduce private HRBA learning portfolio.,"Create a simple illustration of a private learning portfolio or notebook with shield/check icon, suggesting safe personal learning notes and practical outputs. Use DEC blue/green, white cards, subtle shadows.",Flat vector or semi-flat illustration.,"Do not show real names, documents, case records, or confidential files.",Illustration of a private HRBA learning portfolio with safe learning symbols.,Refine
A-M1-04,M1-S1-06B,Recurring persona illustration,Introduce Ayele as safe demo learner.,"Create a respectful semi-realistic avatar illustration of Ayele, a local CSO project officer using a private learning portfolio. Show professional, calm context: laptop/notebook, project planning notes without readable sensitive text. Avoid stereotypes.","Semi-realistic avatar; warm, professional; DEC accents.",Fictional persona only; no real NGO logo; no sensitive data visible.,"Ayele, a local CSO project officer, using a private learning portfolio safely.",Refine
A-M1-05,M1-S1-07,Safe Learning Agreement graphic,Communicate privacy and safety rules.,"Create an iconic graphic combining shield, notebook, anonymized data dots, and consent/check symbols to show safe learning, privacy, and no sensitive data sharing. Use clean white card and DEC blue/green.",Iconic flat illustration; high contrast.,"No readable personal data, no real case imagery.","Shield and notebook symbol showing safe, private HRBA learning.",Refine
A-M1-06,M1-S2-03,HRBA relevance icon set,Summarize why HRBA matters.,"Create five consistent line/filled icons for dignity, participation, inclusion/non-discrimination, accountability, and sustainability/adaptation. Use DEC brand colors and simple labels if needed.",Consistent icon set; white cards; accessible contrast.,No stereotypes; avoid complex symbols that imply political affiliation.,"Icons representing dignity, participation, inclusion, accountability, and sustainability.",Refine
A-M1-07,M1-S3-01,Rights-holder shift illustration,Show shift from beneficiary to rights-holder.,"Create a clear side-by-side illustration showing a shift from people as passive recipients to people as rights-holders with voice, agency, and accountability channels. Use respectful local CSO/community setting.",Simple infographic/illustration; DEC colors.,Do not depict communities as helpless; avoid savior narrative.,Visual comparison showing a shift from passive beneficiary framing to rights-holder agency and voice.,Refine
A-M1-08,M1-S3-03,Scenario decision graphic,Support 'Ask Better Questions Before Acting'.,"Create a scenario card illustration of a CSO team reviewing a project plan and asking better HRBA questions before acting. Include visual cues of participation, barriers, roles, and accountability, but no readable sensitive documents.",Semi-realistic contextual illustration.,"No real names, logos, complaints, political or safeguarding details.",Fictional CSO team discussing rights-based planning questions before taking action.,Refine
A-M1-09,M1-S4-02,Sorting icons,Represent four practice framings.,"Create four simple icons for charity-based, needs-based, service-delivery, and rights-based practice framing. Icons should be distinct and neutral, avoiding judgmental or stigmatizing imagery.",Flat line icons; DEC palette with neutral grey support.,"No negative stereotypes; rights-based icon should suggest voice/accountability, not legal threat.","Icons for charity-based, needs-based, service-delivery, and rights-based practice framing.",Refine
A-M1-10,M1-S5-04,Rights-holder/duty-bearer map,Show actor relationship and CSO support role.,"Create a clean node-link diagram showing rights-holders, duty-bearers, CSO support/accountability role, and stakeholders/influencers. Use arrows for claims, responsibilities, participation, evidence, dialogue, and accountability. Keep labels short.",Diagram/infographic; white card; DEC blue/green; accessible contrast.,No real actor names; use generic categories only.,"Diagram showing rights-holders, duty-bearers, CSO support role, and accountability relationships.",Refine
A-M1-11,M1-S6-04,Self-assessment scale graphic,Explain survey scale.,"Create an accessible horizontal response scale from 0 to 3 plus N/A: Not yet in place, Early steps, Partly in place, Consistently in place, Not applicable/need to check. Use clear labels and icons.","Flat accessible scale, high contrast.",Do not imply score is public or certificate-related.,Response scale for a private HRBA starting-point self-assessment.,Refine
A-M1-12,M1-S7-04,Module wrap-up image,Support positive transition to Module 2.,"Create a professional wrap-up illustration showing a learner completing Module 1 and preparing to continue to Module 2, with a checklist/roadmap and calm progress indicator. Avoid childish celebration.","Semi-flat, professional, warm; DEC colors.",No trophy/exam pressure; no real data visible.,Learner completing Module 1 and preparing to continue to Module 2.,Refine
